Source,Target
django,asgiref
django,sqlparse
django,tzdata
django,argon2-cffi
django,bcrypt
fastapi,starlette
fastapi,pydantic
fastapi,typing-extensions
fastapi,typing-inspection
fastapi,annotated-doc
fastapi,fastapi-cli
fastapi,fastar
fastapi,httpx
fastapi,jinja2
fastapi,python-multipart
fastapi,email-validator
fastapi,uvicorn
fastapi,pydantic-settings
fastapi,pydantic-extra-types
fastapi,itsdangerous
fastapi,pyyaml
ansible,ansible-core
jupyter,notebook
jupyter,jupyter-console
jupyter,nbconvert
jupyter,ipykernel
jupyter,ipywidgets
jupyter,jupyterlab
pyqt5,pyqt5-sip
pyqt5,pyqt5-qt5
pytest,colorama
pytest,exceptiongroup
pytest,iniconfig
pytest,packaging
pytest,pluggy
pytest,pygments
pytest,tomli
pytest,argcomplete
pytest,attrs
pytest,hypothesis
pytest,mock
pytest,requests
pytest,setuptools
pytest,xmlschema
kivy,kivy-garden
kivy,docutils
kivy,pygments
kivy,requests
kivy,filetype
kivy,kivy-deps-angle
kivy,kivy-deps-sdl2
kivy,kivy-deps-glew
kivy,pypiwin32
kivy,pillow
kivy,pytest
kivy,pytest-cov
kivy,pytest-asyncio
kivy,pytest-timeout
kivy,pytest-benchmark
kivy,pyinstaller
kivy,sphinx
kivy,sphinxcontrib-jquery
kivy,flake8
kivy,pre-commit
kivy,responses
kivy,kivy-deps-gstreamer-dev
kivy,kivy-deps-sdl2-dev
kivy,kivy-deps-glew-dev
kivy,ffpyplayer
kivy,kivy-deps-gstreamer
kivy,oscpy
pandas,numpy
pandas,python-dateutil
pandas,tzdata
pandas,hypothesis
pandas,pytest
pandas,pytest-xdist
pandas,pyarrow
pandas,bottleneck
pandas,numba
pandas,numexpr
pandas,scipy
pandas,xarray
pandas,fsspec
pandas,s3fs
pandas,gcsfs
pandas,odfpy
pandas,openpyxl
pandas,python-calamine
pandas,pyxlsb
pandas,xlrd
pandas,xlsxwriter
pandas,pyiceberg
pandas,tables
pandas,pyreadstat
pandas,sqlalchemy
pandas,psycopg2
pandas,adbc-driver-postgresql
pandas,pymysql
pandas,adbc-driver-sqlite
pandas,beautifulsoup4
pandas,html5lib
pandas,lxml
pandas,matplotlib
pandas,jinja2
pandas,tabulate
pandas,pyqt5
pandas,qtpy
pandas,zstandard
pandas,pytz
pandas,fastparquet
tensorflow,absl-py
tensorflow,astunparse
tensorflow,flatbuffers
tensorflow,gast
tensorflow,google-pasta
tensorflow,libclang
tensorflow,opt-einsum
tensorflow,packaging
tensorflow,protobuf
tensorflow,requests
tensorflow,setuptools
tensorflow,six
tensorflow,termcolor
tensorflow,typing-extensions
tensorflow,wrapt
tensorflow,grpcio
tensorflow,keras
tensorflow,numpy
tensorflow,h5py
tensorflow,ml-dtypes
tensorflow,nvidia-cublas-cu12
tensorflow,nvidia-cuda-cupti-cu12
tensorflow,nvidia-cuda-nvcc-cu12
tensorflow,nvidia-cuda-nvrtc-cu12
tensorflow,nvidia-cuda-runtime-cu12
tensorflow,nvidia-cudnn-cu12
tensorflow,nvidia-cufft-cu12
tensorflow,nvidia-curand-cu12
tensorflow,nvidia-cusolver-cu12
tensorflow,nvidia-cusparse-cu12
tensorflow,nvidia-nccl-cu12
tensorflow,nvidia-nvjitlink-cu12
tensorflow,tensorflow-io-gcs-filesystem
ipykernel,appnope
ipykernel,comm
ipykernel,debugpy
ipykernel,ipython
ipykernel,jupyter-client
ipykernel,jupyter-core
ipykernel,matplotlib-inline
ipykernel,nest-asyncio
ipykernel,packaging
ipykernel,psutil
ipykernel,pyzmq
ipykernel,tornado
ipykernel,traitlets
ipykernel,coverage
ipykernel,matplotlib
ipykernel,pytest-cov
ipykernel,trio
ipykernel,intersphinx-registry
ipykernel,myst-parser
ipykernel,pydata-sphinx-theme
ipykernel,sphinx-autodoc-typehints
ipykernel,sphinx
ipykernel,sphinxcontrib-github-alt
ipykernel,sphinxcontrib-spelling
ipykernel,pyqt5
ipykernel,pyside6
ipykernel,flaky
ipykernel,ipyparallel
ipykernel,pre-commit
ipykernel,pytest-asyncio
ipykernel,pytest-timeout
ipykernel,pytest
jupyter-console,ipykernel
jupyter-console,ipython
jupyter-console,jupyter-client
jupyter-console,jupyter-core
jupyter-console,prompt-toolkit
jupyter-console,pygments
jupyter-console,pyzmq
jupyter-console,traitlets
jupyter-console,flaky
jupyter-console,pexpect
jupyter-console,pytest
setuptools,pytest
setuptools,virtualenv
setuptools,wheel
setuptools,pip
setuptools,packaging
setuptools,jaraco-envs
setuptools,pytest-xdist
setuptools,jaraco-path
setuptools,build
setuptools,filelock
setuptools,ini2toml
setuptools,tomli-w
setuptools,pytest-timeout
setuptools,pytest-perf
setuptools,jaraco-develop
setuptools,pytest-home
setuptools,pytest-subprocess
setuptools,pyproject-hooks
setuptools,jaraco-test
setuptools,sphinx
setuptools,jaraco-packaging
setuptools,rst-linker
setuptools,furo
setuptools,sphinx-lint
setuptools,jaraco-tidelift
setuptools,pygments-github-lexers
setuptools,sphinx-favicon
setuptools,sphinx-inline-tabs
