Betweenness Centrality — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,763
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
----------------------------------------------------------------------------------------
1       pandas                                              9914688.36450602    1.000000
2       pyiceberg                                           6979156.13217140    0.978206
3       ipython                                             5404998.63560511    0.962339
4       hypothesis                                          5233114.51983912    0.960333
5       pytest                                              5054916.10259654    0.958183
6       huggingface-hub                                     3616444.78651220    0.937396
7       fastai                                              3531088.15592619    0.935913
8       polars                                              3461658.61367700    0.934680
9       great-tables                                        3185690.14175860    0.929523
10      shiny                                               3119590.71474330    0.928222
11      inspect-ai                                          2896353.49047062    0.923613
12      jupyter_ai                                          2651101.00200996    0.918120
13      jupyter-ai-magics                                   2520694.44212459    0.914989
14      importlib_metadata                                  2278417.62402639    0.908716
15      setuptools                                          2012144.31469017    0.901002
16      google-cloud-aiplatform                             1924607.47237516    0.898241
17      transformers                                        1844686.11576865    0.895608
18      typeguard                                           1571562.50399629    0.885661
19      ray                                                 1533326.37418963    0.884132
20      langchain-google-vertexai                           1361775.38048761    0.876767
21      types-aioboto3                                      1270809.55000000    0.872475
22      types-boto3                                         1262103.55000000    0.872049
23      importlib-metadata                                  1254107.68151606    0.871654
24      sentry-sdk                                          1185343.99726240    0.868154
25      adbc-driver-postgresql                              1165690.06338679    0.867116
26      daft                                                1147542.94955494    0.866142
27      xarray                                              1125560.39583784    0.864941
28      autogen                                             1107071.58048125    0.863913
29      openinference-instrumentation-autogen               1105957.01735610    0.863850
30      catalyst                                            1000359.46062178    0.857621
31      pydata-sphinx-theme                                  982405.64195861    0.856497
32      ag2                                                  922236.58048126    0.852574
33      wandb                                                901881.68240766    0.851188
34      neptune-client                                       881236.56303653    0.849751
35      black                                                802569.04586863    0.843946
36      chalice                                              774500.74079900    0.841736
37      scipy                                                719106.43320463    0.837130
38      aws_cdk.cloudformation-include                       695911.37877751    0.835095
39      torchmetrics                                         693542.15220052    0.834883
40      scikit-learn                                         688395.21395115    0.834420
41      lightning                                            673627.20734915    0.833074
42      idna                                                 652482.91832156    0.831095
43      plotly                                               638457.87315461    0.829746
44      fsspec                                               630037.00435609    0.828922
45      narwhals                                             598684.89564367    0.825753
46      flox                                                 592064.38469200    0.825063
47      apache-beam                                          583842.54122542    0.824195
48      cubed                                                574870.65970985    0.823233
49      comet_ml                                             544491.57686305    0.819863
50      myst-nb                                              543058.23260329    0.819700
51      kedro-neptune                                        522175.44435667    0.817265
52      deepspeed                                            514179.31525983    0.816308
53      sphinx-favicon                                       513393.87933174    0.816213
54      flaml                                                499089.89092436    0.814459
55      gymnasium                                            495372.21139192    0.813994
56      jaraco.path                                          491245.59997860    0.813475
57      sphinx-copybutton                                    490729.97247022    0.813410
58      pyobjc                                               490669.98361199    0.813402
59      torch                                                478111.16981875    0.811793
60      requests                                             473476.64512894    0.811188
61      kedro-datasets                                       471995.29959230    0.810994
62      accelerate                                           469097.47525886    0.810611
63      psutil                                               449077.92296494    0.807904
64      lm-eval                                              431660.17990308    0.805449
65      pytorch-forecasting                                  429904.74079257    0.805196
66      flax                                                 423399.67714146    0.804249
67      mypy                                                 408722.93202454    0.802059
68      PyTDC                                                404132.24454031    0.801358
69      rich                                                 394460.27425669    0.799854
70      optuna-integration                                   370159.38855279    0.795907
71      beartype                                             370119.91350146    0.795901
72      optimum-benchmark                                    369969.12955686    0.795875
73      ibis-framework                                       364465.38116138    0.794945
74      networkx                                             360336.44790475    0.794238
75      litellm                                              334248.86271356    0.789573
76      cryptography                                         332085.32598177    0.789170
77      ipywidgets                                           329301.28030789    0.788647
78      botorch                                              327265.43631964    0.788262
79      altair                                               320695.00666201    0.787003
80      spacy                                                319430.65421425    0.786758
81      langchain                                            314240.41471586    0.785741
82      prefect                                              303876.70692780    0.783659
83      pymoo                                                295722.56640329    0.781971
84      dvclive                                              292736.64340244    0.781341
85      SQLAlchemy                                           291491.55392665    0.781076
86      pytest-benchmark                                     290913.69272472    0.780953
87      myst-parser                                          289751.84499369    0.780705
88      scikit-image                                         280042.04337573    0.778589
89      moocore                                              279193.37101997    0.778400
90      mlflow                                               278671.17212516    0.778284
91      pydantic-evals                                       270541.43568179    0.776446
92      pydantic-ai-slim                                     269422.68773493    0.776189
93      codecarbon                                           267335.16464613    0.775706
94      sparse                                               262261.24129154    0.774517
95      tiledbsoma                                           261463.83723433    0.774328
96      google-vizier                                        259182.81562290    0.773784
97      pyreadstat                                           258513.60975002    0.773623
98      sphinx                                               250506.76770823    0.771670
99      twisted                                              243465.88351987    0.769901
100     datasets                                             243226.40793585    0.769840
101     langchain-aws                                        231399.13077543    0.766745
102     pytest-regressions                                   231091.58017924    0.766663
103     sphinx-book-theme                                    229970.99233819    0.766361
104     bedrock-agentcore                                    229941.20135425    0.766353
105     mkdocs                                               226641.89438537    0.765456
106     elasticsearch                                        226585.82986940    0.765440
107     logfire                                              223932.32799442    0.764709
108     dvc                                                  223421.42774008    0.764567
109     spatialdata                                          223057.55341762    0.764466
110     crosshair-tool                                       217286.66393236    0.762839
111     inspect_scout                                        214961.35762964    0.762171
112     grpcio-tools                                         213107.30706132    0.761633
113     pytest-asyncio                                       210832.10531006    0.760967
114     grpcio                                               209782.53023715    0.760657
115     ipykernel                                            206156.47698253    0.759575
116     celery                                               203527.30295055    0.758778
117     singlestoredb                                        202663.72971838    0.758514
118     markdown-it-py                                       200082.07638419    0.757719
119     optimum                                              199273.50401182    0.757467
120     zarr                                                 197371.45354544    0.756872
121     pythainlp                                            195733.99850458    0.756355
122     httpx                                                195463.24356663    0.756269
123     twine                                                195399.71972936    0.756249
124     frictionless                                         193302.75264180    0.755579
125     zenml                                                191650.64668536    0.755046
126     furo                                                 190738.34651548    0.754750
127     dnspython                                            187758.91112284    0.753773
128     pydantic-ai                                          186005.47056112    0.753190
129     matplotlib                                           183670.30691013    0.752406
130     nevergrad                                            182020.75353100    0.751846
131     nbclient                                             181285.33441566    0.751595
132     google-auth                                          177525.08157867    0.750293
133     langsmith                                            177356.99763291    0.750235
134     fastapi-pagination                                   176131.09984941    0.749804
135     astropy                                              174478.83674600    0.749219
136     google-adk                                           171307.58430444    0.748080
137     lit-nlp                                              169403.43802664    0.747387
138     google-cloud-bigquery                                168517.67921196    0.747061
139     jaraco.develop                                       167148.07721851    0.746555
140     strands-agents-evals                                 163210.02616823    0.745075
141     strands-agents-tools                                 159766.29322887    0.743751
142     wrapt                                                158650.64559730    0.743316
143     qianfan                                              157345.45321827    0.742803
144     tensorflow_datasets                                  155277.70289125    0.741982
145     jsonschema                                           155198.79633445    0.741950
146     optuna                                               154862.77858834    0.741816
147     Babel                                                152841.42241434    0.741000
148     pandera                                              150461.35064168    0.740026
149     pydantic-ai-examples                                 149903.60998823    0.739795
150     oracledb                                             149876.65201181    0.739784
151     huggingface_hub                                      147798.11421975    0.738917
152     jupyterlab                                           147686.86231159    0.738871
153     build                                                146721.83246857    0.738464
154     mlrun                                                146699.14974795    0.738454
155     tqdm                                                 144617.74803245    0.737567
156     fastcore                                             143967.30517598    0.737287
157     pytablewriter                                        143697.91998245    0.737171
158     jax                                                  140845.12441436    0.735926
159     plum-dispatch                                        139895.79263821    0.735506
160     xmlschema                                            139259.02418328    0.735223
161     subprocess-tee                                       137648.99250957    0.734501
162     sentence-transformers                                137098.77393005    0.734253
163     opentelemetry-api                                    137002.34547403    0.734209
164     wheel                                                135896.87276280    0.733706
165     towncrier                                            135857.32229962    0.733688
166     mem0ai                                               134699.89559986    0.733157
167     cellxgene-census                                     134167.42746199    0.732911
168     email-validator                                      132829.79630227    0.732289
169     babel                                                131617.94847503    0.731720
170     optimum-intel                                        130651.03960655    0.731262
171     scanpy                                               129904.39609008    0.730907
172     Pillow                                               129653.96082730    0.730787
173     matrepr                                              127184.90409678    0.729593
174     dash                                                 127091.06480130    0.729548
175     evojax                                               126663.25507476    0.729338
176     tensorflow                                           123877.55258899    0.727958
177     moto                                                 123312.60856834    0.727674
178     pypinfo                                              122423.74758273    0.727225
179     docling                                              121471.52380052    0.726740
180     trino                                                120304.18364177    0.726141
181     pillow                                               119786.02415133    0.725873
182     sphinx-basic-ng                                      118917.90477520    0.725421
183     pluggy                                               117005.36422625    0.724415
184     optree                                               116446.48525171    0.724118
185     pydantic                                             115862.97963527    0.723806
186     mosaicml                                             114470.58377696    0.723055
187     vllm                                                 113004.69629615    0.722255
188     sqlalchemy                                           112939.85244874    0.722220
189     unitxt                                               112283.62622286    0.721858
190     jupytext                                             112219.73368039    0.721823
191     cudf-polars-cu12                                     112125.03616798    0.721770
192     llama-index-core                                     110601.07434093    0.720921
193     testcontainers                                       110224.83673219    0.720709
194     pymongo                                              109855.57538236    0.720501
195     asv                                                  109495.11781018    0.720297
196     geopandas                                            108683.00578846    0.719835
197     genshi                                               108387.11968901    0.719666
198     html5lib                                             108364.59086714    0.719653
199     pytest-cov                                           107286.12469628    0.719032
200     memray                                               106967.79972166    0.718847
201     nbformat                                             106001.52779652    0.718284
202     tifffile                                             105990.41566063    0.718278
203     universal-pathlib                                    105771.98441128    0.718150
204     fireworks-ai                                         105615.31972304    0.718058
205     psycopg                                              105394.14623123    0.717927
206     rst2pdf                                              105034.51453388    0.717715
207     langchain-fireworks                                  104463.65723739    0.717377
208     panel                                                102800.22823664    0.716381
209     coconut                                              100733.60977492    0.715120
210     python-graphblas                                     100018.20285487    0.714678
211     pydata_sphinx_theme                                   98944.17799887    0.714007
212     jupyterlite-sphinx                                    97743.81085435    0.713250
213     langchain-core                                        97162.38562267    0.712879
214     azure-core                                            95815.43871041    0.712013
215     vaex                                                  95658.98542247    0.711911
216     langchain-community                                   94585.95613470    0.711211
217     visidata                                              92587.63538933    0.709886
218     mapclassify                                           92421.13208872    0.709774
219     redis                                                 91724.62876156    0.709304
220     pytest-perf                                           90395.74489037    0.708398
221     bodo                                                  90332.60453036    0.708355
222     cvxpy                                                 90088.00640025    0.708187
223     openai                                                89078.61049205    0.707487
224     jinja2                                                88741.42490620    0.707252
225     ubelt                                                 87911.61133886    0.706669
226     brax                                                  87479.44057459    0.706363
227     trimesh                                               85937.53129701    0.705259
228     marimo                                                85569.64681338    0.704993
229     mcp                                                   85112.71069821    0.704660
230     kagglehub                                             84842.16328650    0.704463
231     tokenizers                                            84656.95657466    0.704327
232     uri-template                                          84501.93690227    0.704213
233     cudf-cu12                                             83316.89416528    0.703336
234     evaluate                                              82684.96931389    0.702864
235     elementpath                                           81781.54788600    0.702182
236     jsii                                                  81345.05287031    0.701850
237     safetensors                                           80890.46433293    0.701502
238     dask-cuda                                             80785.05634311    0.701421
239     rsconnect-python                                      80566.44821514    0.701253
240     cairocffi                                             79455.78539213    0.700391
241     sagemaker                                             79425.57580167    0.700367
242     aiosqlite                                             79213.21539297    0.700201
243     id                                                    78118.32752053    0.699337
244     ltp                                                   77810.21735690    0.699092
245     cyclopts                                              77690.85927703    0.698997
246     virtualenv                                            77558.64347017    0.698891
247     xdev                                                  77507.53613085    0.698850
248     pikepdf                                               77050.98507337    0.698483
