Closeness Centrality — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,763
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
----------------------------------------------------------------------------------------
1       pytest                                                    0.44692664    1.000000
2       typing-extensions                                         0.42294221    0.922447
3       numpy                                                     0.40700614    0.870192
4       pytest-cov                                                0.40590672    0.866565
5       requests                                                  0.40510424    0.863916
6       packaging                                                 0.40252396    0.855388
7       pandas                                                    0.40125801    0.851198
8       apache-beam                                               0.40000000    0.847031
9       sphinx                                                    0.39364303    0.825915
10      inspect-ai                                                0.38824137    0.807897
11      zenml                                                     0.38806313    0.807301
12      snowflake-snowpark-python                                 0.38801859    0.807152
13      elasticsearch                                             0.38799633    0.807078
14      huggingface-hub                                           0.38693065    0.803514
15      beartype                                                  0.38677572    0.802996
16      cryptography                                              0.38648834    0.802034
17      google-adk                                                0.38644417    0.801886
18      posthog                                                   0.38591485    0.800115
19      shiny                                                     0.38589283    0.800041
20      pytest-asyncio                                            0.38584879    0.799894
21      huggingface_hub                                           0.38488246    0.796657
22      dvc                                                       0.38466352    0.795924
23      scipy                                                     0.38440111    0.795044
24      spatialdata                                               0.38294258    0.790154
25      shap                                                      0.38294258    0.790154
26      ipython                                                   0.38263920    0.789136
27      inspect_scout                                             0.38253097    0.788773
28      psutil                                                    0.38235793    0.788192
29      mypy                                                      0.38229308    0.787974
30      frictionless                                              0.38224986    0.787829
31      pinecone                                                  0.38168887    0.785946
32      lightning                                                 0.38162425    0.785729
33      tiledbsoma                                                0.38143051    0.785078
34      wandb                                                     0.38134446    0.784789
35      myst-nb                                                   0.38132296    0.784717
36      pydata-sphinx-theme                                       0.38130145    0.784644
37      black                                                     0.38125846    0.784500
38      bigframes                                                 0.38115101    0.784139
39      setuptools                                                0.38108656    0.783923
40      nevergrad                                                 0.38093629    0.783418
41      bitblas                                                   0.38087192    0.783201
42      pytorch-lightning                                         0.38057181    0.782193
43      transformers                                              0.37982363    0.779678
44      pydoctor                                                  0.37980229    0.779606
45      myst_nb                                                   0.37975963    0.779463
46      pytorch_lightning                                         0.37969566    0.779248
47      zarr                                                      0.37952517    0.778674
48      altair                                                    0.37941870    0.778316
49      strands-agents-tools                                      0.37871745    0.775957
50      ag2                                                       0.37842073    0.774958
51      matplotlib                                                0.37823023    0.774317
52      pydantic                                                  0.37723849    0.770977
53      aeon                                                      0.37683905    0.769631
54      pydata_sphinx_theme                                       0.37667112    0.769065
55      datasets                                                  0.37646142    0.768358
56      singlestoredb                                             0.37633571    0.767935
57      dbt-common                                                0.37579193    0.766101
58      scikit-learn                                              0.37572929    0.765890
59      browser-use                                               0.37531221    0.764483
60      pytest-xdist                                              0.37489605    0.763079
61      torch                                                     0.37454304    0.761888
62      pillow                                                    0.37452229    0.761818
63      nibabel                                                   0.37414928    0.760558
64      jupyter-server                                            0.37400442    0.760069
65      helion                                                    0.37398374    0.759999
66      panel                                                     0.37361180    0.758743
67      streamlit                                                 0.37354988    0.758534
68      cyclopts                                                  0.37332303    0.757768
69      strands-agents                                            0.37330242    0.757698
70      pdm                                                       0.37311703    0.757072
71      nni                                                       0.37289070    0.756307
72      openai                                                    0.37274682    0.755821
73      pint                                                      0.37237733    0.754572
74      gymnasium                                                 0.37229533    0.754294
75      ngff-zarr                                                 0.37209046    0.753602
76      jupyter_server                                            0.37182448    0.752702
77      google-cloud-aiplatform                                   0.37159971    0.751942
78      pyswarms                                                  0.37151805    0.751666
79      optuna                                                    0.37151805    0.751666
80      optree                                                    0.37129365    0.750906
81      chromadb                                                  0.37127327    0.750837
82      llama-cpp-python                                          0.37111026    0.750286
83      tqdm                                                      0.37064240    0.748702
