PageRank — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,763
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
----------------------------------------------------------------------------------------
1       typing-extensions                                         0.05984469    1.000000
2       pytest                                                    0.02308944    0.392010
3       numpy                                                     0.01149684    0.195712
4       colorama                                                  0.00984358    0.167534
5       pyobjc-core                                               0.00897048    0.152634
6       sphinx                                                    0.00826474    0.140581
7       packaging                                                 0.00797037    0.135551
8       tomli                                                     0.00732663    0.124547
9       requests                                                  0.00695720    0.118228
10      pytest-cov                                                0.00622286    0.105661
11      setuptools                                                0.00563761    0.095639
12      typeguard                                                 0.00505567    0.085668
13      publication                                               0.00494095    0.083702
14      mypy                                                      0.00492337    0.083401
15      pyobjc-framework-Cocoa                                    0.00461909    0.078184
16      typing_extensions                                         0.00458120    0.077535
17      jsii                                                      0.00440594    0.074529
18      six                                                       0.00418043    0.070661
19      flake8                                                    0.00362043    0.061052
20      attrs                                                     0.00335067    0.056422
21      pygments                                                  0.00322200    0.054212
22      ruff                                                      0.00313788    0.052768
23      coverage                                                  0.00291825    0.048996
24      aws-cdk.core                                              0.00287548    0.048261
25      importlib_metadata                                        0.00281234    0.047177
26      cffi                                                      0.00270726    0.045372
27      click                                                     0.00270040    0.045254
28      pluggy                                                    0.00269683    0.045193
29      pyyaml                                                    0.00267215    0.044769
30      pre-commit                                                0.00265721    0.044512
31      hypothesis                                                0.00245321    0.041007
32      pycparser                                                 0.00240368    0.040156
33      urllib3                                                   0.00236115    0.039425
34      pytest-xdist                                              0.00235086    0.039248
35      importlib-metadata                                        0.00234583    0.039162
36      Sphinx                                                    0.00229495    0.038287
37      scipy                                                     0.00223031    0.037176
38      python-dateutil                                           0.00221512    0.036915
39      constructs                                                0.00220258    0.036700
40      pandas                                                    0.00216506    0.036055
41      idna                                                      0.00216000    0.035968
42      lxml                                                      0.00215303    0.035848
43      furo                                                      0.00211213    0.035145
44      pydantic                                                  0.00209169    0.034794
