Closeness Centrality — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,765
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
----------------------------------------------------------------------------------------
1       ansible                                                   1.00000000    1.000000
2       ansible-core~                                             1.00000000    1.000000
3       pytest                                                    0.44692664    0.399696
4       typing-extensions                                         0.42294221    0.368698
5       numpy                                                     0.40700614    0.347812
6       pytest-cov                                                0.40590672    0.346362
7       requests                                                  0.40510424    0.345303
8       packaging                                                 0.40252396    0.341895
9       pandas                                                    0.40125801    0.340220
10      apache-beam                                               0.40000000    0.338554
11      sphinx                                                    0.39364303    0.330115
12      inspect-ai                                                0.38824137    0.322913
13      zenml                                                     0.38806313    0.322675
14      snowflake-snowpark-python                                 0.38801859    0.322615
15      elasticsearch                                             0.38799633    0.322586
16      huggingface-hub                                           0.38693065    0.321161
17      beartype                                                  0.38677572    0.320954
18      cryptography                                              0.38648834    0.320570
19      google-adk                                                0.38644417    0.320511
20      posthog                                                   0.38591485    0.319802
21      shiny                                                     0.38589283    0.319773
22      pytest-asyncio                                            0.38584879    0.319714
23      huggingface_hub                                           0.38488246    0.318420
24      dvc                                                       0.38466352    0.318127
25      scipy                                                     0.38440111    0.317776
26      spatialdata                                               0.38294258    0.315821
27      shap                                                      0.38294258    0.315821
28      ipython                                                   0.38263920    0.315414
29      inspect_scout                                             0.38253097    0.315269
30      psutil                                                    0.38235793    0.315037
31      mypy                                                      0.38229308    0.314950
32      frictionless                                              0.38224986    0.314892
33      pinecone                                                  0.38168887    0.314139
34      lightning                                                 0.38162425    0.314052
35      tiledbsoma                                                0.38143051    0.313792
36      wandb                                                     0.38134446    0.313677
37      myst-nb                                                   0.38132296    0.313648
38      pydata-sphinx-theme                                       0.38130145    0.313619
39      black                                                     0.38125846    0.313561
40      bigframes                                                 0.38115101    0.313417
41      setuptools                                                0.38108656    0.313330
42      nevergrad                                                 0.38093629    0.313129
43      bitblas                                                   0.38087192    0.313042
44      pytorch-lightning                                         0.38057181    0.312639
45      transformers                                              0.37982363    0.311634
46      pydoctor                                                  0.37980229    0.311605
47      myst_nb                                                   0.37975963    0.311548
48      pytorch_lightning                                         0.37969566    0.311462
49      zarr                                                      0.37952517    0.311233
50      altair                                                    0.37941870    0.311090
51      strands-agents-tools                                      0.37871745    0.310147
52      ag2                                                       0.37842073    0.309747
53      matplotlib                                                0.37823023    0.309491
54      pydantic                                                  0.37723849    0.308156
55      aeon                                                      0.37683905    0.307618
56      pydata_sphinx_theme                                       0.37667112    0.307392
57      datasets                                                  0.37646142    0.307110
58      singlestoredb                                             0.37633571    0.306940
59      dbt-common                                                0.37579193    0.306207
60      scikit-learn                                              0.37572929    0.306123
61      browser-use                                               0.37531221    0.305561
62      pytest-xdist                                              0.37489605    0.304999
63      torch                                                     0.37454304    0.304523
64      pillow                                                    0.37452229    0.304495
65      nibabel                                                   0.37414928    0.303992
66      jupyter-server                                            0.37400442    0.303796
67      helion                                                    0.37398374    0.303768
68      panel                                                     0.37361180    0.303266
69      streamlit                                                 0.37354988    0.303183
70      cyclopts                                                  0.37332303    0.302876
71      strands-agents                                            0.37330242    0.302849
72      pdm                                                       0.37311703    0.302598
73      nni                                                       0.37289070    0.302293
74      openai                                                    0.37274682    0.302098
75      pint                                                      0.37237733    0.301599
76      gymnasium                                                 0.37229533    0.301488
77      ngff-zarr                                                 0.37209046    0.301211
78      jupyter_server                                            0.37182448    0.300852
79      google-cloud-aiplatform                                   0.37159971    0.300548
80      pyswarms                                                  0.37151805    0.300437
81      optuna                                                    0.37151805    0.300437
82      optree                                                    0.37129365    0.300134
83      chromadb                                                  0.37127327    0.300106
84      llama-cpp-python                                          0.37111026    0.299886
85      tqdm                                                      0.37064240    0.299253
