PageRank — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,765
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
----------------------------------------------------------------------------------------
1       typing-extensions                                         0.05983281    1.000000
2       pytest                                                    0.02308486    0.392009
3       numpy                                                     0.01149455    0.195711
4       colorama                                                  0.00984163    0.167533
5       pyobjc-core                                               0.00896870    0.152634
6       sphinx                                                    0.00826310    0.140581
7       packaging                                                 0.00796879    0.135551
8       tomli                                                     0.00732518    0.124546
9       requests                                                  0.00695582    0.118228
10      pytest-cov                                                0.00622162    0.105661
11      setuptools                                                0.00563649    0.095639
12      typeguard                                                 0.00505466    0.085668
13      publication                                               0.00493997    0.083702
14      mypy                                                      0.00492239    0.083400
15      pyobjc-framework-Cocoa                                    0.00461817    0.078184
16      typing_extensions                                         0.00458030    0.077534
17      jsii                                                      0.00440507    0.074529
18      six                                                       0.00417960    0.070661
19      flake8                                                    0.00361971    0.061052
20      attrs                                                     0.00335000    0.056421
21      pygments                                                  0.00322136    0.054212
22      ruff                                                      0.00313726    0.052768
23      coverage                                                  0.00291767    0.048996
24      aws-cdk.core                                              0.00287491    0.048261
25      importlib_metadata                                        0.00281178    0.047177
26      cffi                                                      0.00270672    0.045372
27      click                                                     0.00269987    0.045254
28      pluggy                                                    0.00269629    0.045192
29      pyyaml                                                    0.00267162    0.044768
30      pre-commit                                                0.00265669    0.044512
31      hypothesis                                                0.00245272    0.041007
32      pycparser                                                 0.00240321    0.040156
33      urllib3                                                   0.00236068    0.039425
34      pytest-xdist                                              0.00235039    0.039248
35      importlib-metadata                                        0.00234537    0.039161
36      Sphinx                                                    0.00229450    0.038287
37      scipy                                                     0.00222987    0.037176
38      python-dateutil                                           0.00221468    0.036915
39      constructs                                                0.00220215    0.036700
40      pandas                                                    0.00216463    0.036055
41      idna                                                      0.00215957    0.035968
42      lxml                                                      0.00215260    0.035848
43      furo                                                      0.00211171    0.035145
44      pydantic                                                  0.00209128    0.034793
45      psutil                                                    0.00208811    0.034739
46      docutils                                                  0.00208681    0.034717
47      exceptiongroup                                            0.00207675    0.034544
48      jinja2                                                    0.00201422    0.033469
49      wheel                                                     0.00199240    0.033093
50      virtualenv                                                0.00198927    0.033040
51      mock                                                      0.00193417    0.032092
52      tox                                                       0.00188800    0.031298
53      matplotlib                                                0.00185274    0.030692
54      certifi                                                   0.00181808    0.030096
55      argcomplete                                               0.00180285    0.029834
56      protobuf                                                  0.00178997    0.029612
57      torch                                                     0.00170685    0.028183
58      cryptography                                              0.00162689    0.026807
59      filelock                                                  0.00160328    0.026401
60      chardet                                                   0.00158599    0.026104
61      pycodestyle                                               0.00157416    0.025900
62      rich                                                      0.00154914    0.025470
63      httpx                                                     0.00154099    0.025330
64      aiohttp                                                   0.00152186    0.025001
65      mkdocs                                                    0.00151669    0.024912
