Source,Target
PyQt5,PyQt5-sip
PyQt5,PyQt5-Qt5
fastapi,starlette
fastapi,pydantic
fastapi,typing-extensions
fastapi,typing-inspection
fastapi,annotated-doc
fastapi,fastapi-cli[standard]
fastapi,httpx
fastapi,jinja2
fastapi,python-multipart
fastapi,email-validator
fastapi,uvicorn[standard]
fastapi,pydantic-settings
fastapi,fastapi-cli[standard-no-fastapi-cloud-cli]
fastapi,itsdangerous
fastapi,pyyaml
django,asgiref
django,sqlparse
django,tzdata
django,argon2-cffi
django,bcrypt
kivy,Kivy-Garden
kivy,docutils
kivy,pygments
kivy,requests
kivy,filetype
kivy,kivy-deps.angle~
kivy,kivy-deps.sdl2~
kivy,kivy-deps.glew~
kivy,pypiwin32
kivy,pillow
kivy,pytest
kivy,pytest-cov
kivy,pytest-asyncio!
kivy,pytest-timeout
kivy,pytest-benchmark
kivy,pyinstaller
kivy,sphinx~
kivy,sphinxcontrib-jquery~
kivy,flake8
kivy,pre-commit
kivy,responses
kivy,kivy-deps.gstreamer-dev~
kivy,kivy-deps.sdl2-dev~
kivy,kivy-deps.glew-dev~
kivy,ffpyplayer
kivy,kivy-deps.gstreamer~
kivy,oscpy
pytest,colorama
pytest,exceptiongroup
pytest,iniconfig
pytest,packaging
pytest,pluggy
pytest,pygments
pytest,tomli
pytest,argcomplete
pytest,attrs
pytest,hypothesis
pytest,mock
pytest,requests
pytest,setuptools
pytest,xmlschema
tensorflow,absl-py
tensorflow,astunparse
tensorflow,flatbuffers
tensorflow,gast!
tensorflow,google_pasta
tensorflow,libclang
tensorflow,opt_einsum
tensorflow,packaging
tensorflow,protobuf
tensorflow,requests
tensorflow,setuptools
tensorflow,six
tensorflow,termcolor
tensorflow,typing_extensions
tensorflow,wrapt
tensorflow,grpcio
tensorflow,tensorboard~
tensorflow,keras
tensorflow,numpy
tensorflow,h5py
tensorflow,ml_dtypes
tensorflow,nvidia-cublas-cu12
tensorflow,nvidia-cuda-cupti-cu12
tensorflow,nvidia-cuda-nvcc-cu12
tensorflow,nvidia-cuda-nvrtc-cu12
tensorflow,nvidia-cuda-runtime-cu12
tensorflow,nvidia-cudnn-cu12
tensorflow,nvidia-cufft-cu12
tensorflow,nvidia-curand-cu12
tensorflow,nvidia-cusolver-cu12
tensorflow,nvidia-cusparse-cu12
tensorflow,nvidia-nccl-cu12
tensorflow,nvidia-nvjitlink-cu12
tensorflow,tensorflow-io-gcs-filesystem
pandas,numpy
pandas,python-dateutil
pandas,tzdata
pandas,hypothesis
pandas,pytest
pandas,pytest-xdist
pandas,pyarrow
pandas,bottleneck
pandas,numba
pandas,numexpr
pandas,scipy
pandas,xarray
pandas,fsspec
pandas,s3fs
pandas,gcsfs
pandas,odfpy
pandas,openpyxl
pandas,python-calamine
pandas,pyxlsb
pandas,xlrd
pandas,xlsxwriter
pandas,pyiceberg
pandas,tables
pandas,pyreadstat
pandas,SQLAlchemy
pandas,psycopg2
pandas,adbc-driver-postgresql
pandas,pymysql
pandas,adbc-driver-sqlite
pandas,beautifulsoup4
pandas,html5lib
pandas,lxml
pandas,matplotlib
pandas,jinja2
pandas,tabulate
pandas,PyQt5
pandas,qtpy
pandas,zstandard
pandas,pytz
pandas,fastparquet
ansible,ansible-core~
jupyter,notebook
jupyter,jupyter-console
jupyter,nbconvert
jupyter,ipykernel
jupyter,ipywidgets
jupyter,jupyterlab
fsspec,adlfs
fsspec,pyarrow
fsspec,dask
fsspec,distributed
fsspec,pre-commit
fsspec,ruff
fsspec,numpydoc
fsspec,sphinx
fsspec,sphinx-design
fsspec,sphinx-rtd-theme
fsspec,yarl
fsspec,dropbox
fsspec,dropboxdrivefs
fsspec,requests
fsspec,aiohttp!
fsspec,fusepy
fsspec,gcsfs
fsspec,libarchive-c
fsspec,ocifs
fsspec,panel
fsspec,paramiko
fsspec,pygit2
fsspec,s3fs
fsspec,smbprotocol
fsspec,tqdm
fsspec,numpy
fsspec,pytest
fsspec,pytest-asyncio!
fsspec,pytest-benchmark
fsspec,pytest-cov
fsspec,pytest-mock
fsspec,pytest-recording
fsspec,pytest-rerunfailures
fsspec,aiobotocore
fsspec,"dask[dataframe,test]"
fsspec,moto[server]
fsspec,pytest-timeout
fsspec,xarray
fsspec,backports-zstd
fsspec,cloudpickle
fsspec,fastparquet
fsspec,jinja2
fsspec,kerchunk
fsspec,lz4
fsspec,notebook
fsspec,pandas
fsspec,pyftpdlib
fsspec,python-snappy
fsspec,urllib3
fsspec,zarr
fsspec,zstandard
pyinstaller,altgraph
pyinstaller,importlib-metadata
pyinstaller,macholib
pyinstaller,packaging
pyinstaller,pefile
pyinstaller,pyinstaller-hooks-contrib
pyinstaller,pywin32-ctypes
pyinstaller,setuptools
pyinstaller,argcomplete
pyinstaller,execnet
pyinstaller,psutil
pyinstaller,pytest
email-validator,dnspython
email-validator,idna
python-dateutil,six
numba,llvmlite
numba,numpy
beautifulsoup4,soupsieve
beautifulsoup4,typing-extensions
beautifulsoup4,cchardet
beautifulsoup4,chardet
beautifulsoup4,charset-normalizer
beautifulsoup4,html5lib
beautifulsoup4,lxml
lxml,cssselect
lxml,html5lib
lxml,BeautifulSoup4
lxml,lxml_html_clean
xmlschema,elementpath
xmlschema,jinja2
xmlschema,coverage
xmlschema,flake8
xmlschema,lxml
xmlschema,lxml-stubs
xmlschema,mypy
xmlschema,psutil
xmlschema,tox
xmlschema,xmlschema[docs]
xmlschema,sphinx
xmlschema,sphinx_rtd_theme
notebook,jupyter-server
notebook,jupyterlab-server
notebook,jupyterlab
notebook,notebook-shim
notebook,tornado
notebook,hatch
notebook,pre-commit
notebook,myst-parser
notebook,nbsphinx
notebook,pydata-sphinx-theme
notebook,sphinx
notebook,sphinxcontrib-github-alt
notebook,sphinxcontrib-spelling
notebook,importlib-resources
notebook,ipykernel
notebook,jupyter-server[test]
notebook,jupyterlab-server[test]
notebook,nbval
notebook,pytest-console-scripts
notebook,pytest-timeout
notebook,pytest-tornasync
notebook,pytest
notebook,requests
sqlparse,build
sqlparse,sphinx
astunparse,wheel
astunparse,six
argon2-cffi,argon2-cffi-bindings
adbc-driver-sqlite,adbc-driver-manager
adbc-driver-sqlite,importlib-resources
adbc-driver-sqlite,pandas
adbc-driver-sqlite,pyarrow
adbc-driver-sqlite,pytest
pytest-cov,coverage[toml]
pytest-cov,pluggy
pytest-cov,pytest
pytest-cov,process-tests
pytest-cov,pytest-xdist
pytest-cov,virtualenv
setuptools,pytest!
setuptools,virtualenv
setuptools,wheel
setuptools,pip
setuptools,packaging
setuptools,jaraco.envs
setuptools,pytest-xdist
setuptools,jaraco.path
setuptools,build[virtualenv]
setuptools,filelock
setuptools,ini2toml[lite]
setuptools,tomli-w
setuptools,pytest-timeout
setuptools,pytest-perf
setuptools,jaraco.develop
setuptools,pytest-home
setuptools,pytest-subprocess
setuptools,pyproject-hooks!
setuptools,jaraco.test
setuptools,sphinx
setuptools,jaraco.packaging
setuptools,rst.linker
setuptools,furo
setuptools,sphinx-lint
setuptools,jaraco.tidelift
setuptools,pygments-github-lexers
setuptools,sphinx-favicon
setuptools,sphinx-inline-tabs
setuptools,sphinx-reredirects
setuptools,sphinxcontrib-towncrier
setuptools,sphinx-notfound-page
setuptools,towncrier
setuptools,more_itertools
setuptools,jaraco.text
setuptools,importlib_metadata
setuptools,tomli
setuptools,platformdirs
setuptools,jaraco.functools
setuptools,pytest-checkdocs
setuptools,pytest-ruff
setuptools,ruff
setuptools,pytest-cov
setuptools,pytest-enabler
setuptools,pytest-mypy
setuptools,mypy
oscpy,coveralls
oscpy,pytest-rerunfailures
oscpy,pytest
oscpy,wheel
oscpy,pytest-cov
oscpy,pycodestyle
pyreadstat,narwhals
pyreadstat,numpy
pluggy,pre-commit
pluggy,tox
pluggy,pytest
pluggy,pytest-benchmark
pluggy,coverage
jupyterlab,async-lru
jupyterlab,httpx
jupyterlab,importlib-metadata
jupyterlab,ipykernel!
jupyterlab,jinja2
jupyterlab,jupyter-core
jupyterlab,jupyter-lsp
jupyterlab,jupyter-server
jupyterlab,jupyterlab-server
jupyterlab,notebook-shim
jupyterlab,packaging
jupyterlab,setuptools
jupyterlab,tomli
jupyterlab,tornado
jupyterlab,traitlets
jupyterlab,build
jupyterlab,bump2version
jupyterlab,coverage
jupyterlab,hatch
jupyterlab,pre-commit
jupyterlab,pytest-cov
jupyterlab,ruff
jupyterlab,jsx-lexer
jupyterlab,myst-parser
jupyterlab,pydata-sphinx-theme
jupyterlab,pytest
jupyterlab,pytest-check-links
jupyterlab,pytest-jupyter
jupyterlab,sphinx-copybutton
jupyterlab,sphinx
jupyterlab,altair
jupyterlab,ipython
jupyterlab,ipywidgets
jupyterlab,jupyterlab-geojson
jupyterlab,jupyterlab-language-pack-zh-cn
jupyterlab,matplotlib
jupyterlab,nbconvert
jupyterlab,pandas
jupyterlab,scipy
jupyterlab,pytest-console-scripts
jupyterlab,pytest-timeout
jupyterlab,pytest-tornasync
jupyterlab,requests
jupyterlab,requests-cache
jupyterlab,virtualenv
jupyterlab,copier
jupyterlab,jinja2-time
jupyterlab,pydantic
jupyterlab,pyyaml-include
jupyterlab,tomli-w
flake8,mccabe
flake8,pycodestyle
flake8,pyflakes
nvidia-cufft-cu12,nvidia-nvjitlink-cu12
xarray,numpy
xarray,packaging
xarray,pandas
xarray,scipy
xarray,bottleneck
xarray,numbagg
xarray,numba
xarray,flox
xarray,opt_einsum
xarray,"xarray[accel,etc,io,parallel,viz]"
xarray,netCDF4
xarray,h5netcdf
xarray,pydap
xarray,zarr
xarray,fsspec
